epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
22,96.444,0.93292,0.47096,0.00918,0.00031,0.98035,0.97561,0.99368,0.69536,1.04093,0.30203,0.00886,0.00023,0.0017228,0.0017228,0.0017228
30,116.682,0.97957,0.48618,0.0092,0.00057,0.98555,0.9878,0.99232,0.6972,1.07753,0.3229,0.00927,0.00026,0.00177032,0.00177032,0.00177032
31,120.784,0.87642,0.35855,0.00917,0.00046,0.98794,0.99888,0.99199,0.70136,1.04544,0.28726,0.00929,0.0002,0.0017624,0.0017624,0.0017624
23,100.584,0.93847,0.45835,0.00874,0.00033,0.97617,0.99917,0.99366,0.69594,1.09007,0.30309,0.00889,0.00016,0.0017096,0.0017096,0.0017096
32,124.852,0.84103,0.40245,0.00936,0.00034,0.98644,1,0.99163,0.6946,1.04789,0.28532,0.00906,0.00014,0.00175448,0.00175448,0.00175448
24,104.637,0.9305,0.37466,0.00906,0.0003,0.97614,0.99772,0.99354,0.69707,1.10277,0.30297,0.009,0.00017,0.0016964,0.0016964,0.0016964
33,128.907,0.86151,0.39557,0.00823,0.00024,0.98681,1,0.99199,0.69992,1.04233,0.28714,0.00903,8e-05,0.00174656,0.00174656,0.00174656
25,108.797,0.92654,0.47447,0.00875,0.00035,0.96214,1,0.99267,0.70183,1.0536,0.28966,0.00908,0.00028,0.0016832,0.0016832,0.0016832
26,112.939,0.94025,0.42715,0.00908,0.00024,0.97135,1,0.99354,0.72071,1.01029,0.27843,0.00917,0.00018,0.00167,0.00167,0.00167
34,133.187,0.84356,0.41154,0.00915,0.00048,0.98625,1,0.99187,0.69715,1.04092,0.29888,0.00902,0.0002,0.00173864,0.00173864,0.00173864
35,137.371,0.85116,0.39474,0.00804,0.00028,0.9872,0.9878,0.99135,0.68508,1.05269,0.3421,0.01052,0.00015,0.00173072,0.00173072,0.00173072
27,117.154,0.95965,0.45719,0.00884,0.00023,0.98755,0.9878,0.99305,0.71381,1.01621,0.28043,0.00922,0.00011,0.0016568,0.0016568,0.0016568
28,121.256,0.85393,0.35572,0.00877,0.00044,0.98794,0.99902,0.99271,0.68677,1.10671,0.29305,0.00938,0.00031,0.0016436,0.0016436,0.0016436
36,141.513,0.91855,0.47152,0.00865,0.00028,0.97573,0.9878,0.99148,0.70988,1.00992,0.31731,0.00912,0.00067,0.0017228,0.0017228,0.0017228
37,145.594,0.83623,0.43608,0.00896,0.0008,0.96461,0.99729,0.9923,0.70587,1.05202,0.3157,0.00956,0.00099,0.00171488,0.00171488,0.00171488
29,125.447,0.96946,0.44947,0.00972,0.00076,0.97619,0.99997,0.99257,0.69172,1.12828,0.32042,0.00932,0.0004,0.0016304,0.0016304,0.0016304
38,149.732,0.93519,0.36085,0.00901,0.00089,0.9609,0.9878,0.99218,0.70496,1.05456,0.32606,0.00947,0.00101,0.00170696,0.00170696,0.00170696
30,129.501,0.93502,0.47607,0.00896,0.00068,0.97456,1,0.99281,0.68857,1.12776,0.31556,0.00934,0.00045,0.0016172,0.0016172,0.0016172
31,133.605,0.8591,0.35597,0.00881,0.00058,0.9736,1,0.99292,0.7024,1.09096,0.34871,0.00922,0.0003,0.001604,0.001604,0.001604
39,153.959,0.87195,0.38833,0.0095,0.00072,0.98535,0.97561,0.99246,0.70942,1.00004,0.312,0.00889,0.00083,0.00169904,0.00169904,0.00169904
32,137.67,0.86818,0.41414,0.00926,0.00034,0.98734,0.9878,0.9927,0.70674,1.05219,0.29754,0.00913,0.00015,0.0015908,0.0015908,0.0015908
40,158.019,0.93077,0.44852,0.00894,0.00031,0.97124,0.9878,0.99219,0.68286,1.08281,0.35432,0.00905,0.00022,0.00169112,0.00169112,0.00169112
33,141.777,0.86722,0.40049,0.00822,0.00027,0.98791,0.99681,0.99283,0.6961,1.06716,0.29341,0.00905,9e-05,0.0015776,0.0015776,0.0015776
41,162.121,0.89231,0.43211,0.00943,0.00029,0.96334,0.9878,0.99123,0.68113,1.08386,0.37826,0.00896,5e-05,0.0016832,0.0016832,0.0016832
42,166.191,0.85036,0.39612,0.00985,0.0007,0.98683,0.97561,0.99331,0.70246,1.02388,0.34835,0.00884,9e-05,0.00167528,0.00167528,0.00167528
34,145.983,0.883,0.39568,0.00942,0.00036,0.98791,0.99628,0.99271,0.66385,1.13193,0.30845,0.00928,0.00012,0.0015644,0.0015644,0.0015644
35,150.142,0.86266,0.3882,0.00831,0.00037,0.97519,1,0.99281,0.69119,1.07268,0.2982,0.01034,0.0001,0.0015512,0.0015512,0.0015512
43,170.45,0.88819,0.41806,0.00908,0.00073,0.98778,0.98577,0.99366,0.68519,1.0991,0.30055,0.00896,8e-05,0.00166736,0.00166736,0.00166736
